src,dst
2742,5525
2322,4185
851,3173
5056,5536
3937,1943
6177,2005
3587,6260
948,73
3547,5171
6654,6508
3395,613
3809,6080
5571,3134
6668,5625
5183,4715
3600,3462
467,150
5876,3181
6967,5692
5623,2735
6132,2612
6708,3711
4160,3304
6282,2556
4489,3745
5712,5409
3191,5105
6882,4803
7190,2704
3604,5274
4834,4911
7427,4337
771,911
1363,2543
4324,3119
900,1321
1989,6203
5924,3787
6423,1256
6928,6087
123,1629
5787,2735
6637,2905
1155,5977
4114,4972
556,7146
6292,7566
7263,5811
1922,1194
4370,4403
6051,2781
3874,789
7499,3809
3934,840
2562,3971
3469,511
1170,3252
3701,1800
4487,1955
946,3544
2859,3211
3939,6287
1062,7102
5571,5712
6077,6072
4953,6831
7426,2957
4139,3874
338,628
4259,2478
663,4360
52,4206
4864,2817
941,3550
681,213
979,3842
1001,4355
2446,1702
7174,5338
6463,4014
848,326
4279,851
7283,1309
5430,195
3766,3484
5270,4444
1164,6224
3621,4823
5395,3392
6400,467
7272,6812
3631,7231
257,824
2960,2862
331,1527
5274,5317
7283,4692
4167,795
3828,1329
4148,4717
5655,5948
1340,1727
2322,3514
3702,6882
1811,1312
3134,3392
2487,3581
4288,2253
7392,4635
4682,6344
5036,426
5965,7305
6285,7283
3291,343
2670,5917
2718,1235
3968,3968
4202,1920
3971,4239
1982,5516
2391,3469
6925,4610
1713,2093
1647,6169
7000,997
332,5670
1550,6236
614,4602
1039,3842
7004,1870
450,3447
2151,4921
6526,525
1268,4079
4296,5877
3809,3315
5724,3809
4318,3192
2986,5722
3891,1627
2287,3469
1124,2610
5651,2018
4790,5631
4618,2895
3117,3172
3812,1519
5838,7479
5019,206
5673,2716
7426,6824
4852,1032
55,5927
4146,6468
6756,5309
120,660
2186,6985
1212,2807
7557,7280
3326,3696
6898,1228
2567,3644
7242,5956
5141,2828
4637,5015
6175,7249
5834,540
708,4213
880,533
66,4746
2516,1612
2430,6564
3304,7320
5649,2480
3493,3809
6509,3338
6870,2563
4632,1638
2937,3362
4807,3891
4917,4251
2501,6215
4027,4682
30,6220
4500,930
7516,459
5241,4348
5463,223
4480,6879
1686,3787
2265,2151
4295,4847
3178,2643
3195,2058
7180,3923
5373,4652
6975,485
4146,2280
7575,4422
806,1873
579,2648
5350,3702
3657,3809
7571,516
6948,1291
1325,4158
2187,5651
4487,5956
4279,3563
3785,6438
7326,2405
2849,2552
2632,4015
5777,6398
4337,535
1422,5030
3134,2721
2093,3737
5525,5396
4763,2629
1070,7022
6784,3519
385,6919
1477,2458
3975,304
2677,5636
497,6379
3386,4635
5874,1793
2116,873
4996,3739
2556,1145
1959,3141
1971,2212
1572,2695
6078,1034
947,2643
479,6739
1444,3449
2366,5185
427,1853
2956,2018
2460,4820
6378,737
239,2556
7109,5157
1658,7350
4337,1824
6517,7497
6632,1593
1785,709
3913,3748
707,7505
3231,7326
3971,1474
2078,4903
2737,2095
4046,4277
2802,2490
1046,4692
6471,1086
4014,3241
1911,3450
3141,5339
1804,7525
782,5585
6690,5331
4624,7142
231,1510
1852,3809
6841,5500
652,1540
1894,7418
4143,2116
7467,2744
3809,2994
3544,3477
2071,1638
4108,3061
3812,4231
3261,7326
1279,3358
372,6626
3696,84
4379,4278
2034,2510
4673,2281
3544,4416
2238,1751
4215,3123
5837,3550
5610,5079
2688,4431
2951,7285
6048,1518
117,2320
5986,640
4202,1383
3906,2553
5852,4612
4078,6043
762,3778
4941,4166
6099,4489
1751,320
1880,7146
6579,1908
3556,6870
467,1386
7110,5516
5589,5141
4121,6090
148,5016
2173,7368
3954,500
5623,3971
6454,3899
652,385
3477,3544
280,4943
3671,4349
7279,1538
1097,2721
5937,3380
6873,850
2490,4042
1055,4939
4121,613
2980,3677
3725,4585
4492,2246
13,1566
5811,1174
331,2629
2098,27
606,390
1695,5272
5019,5146
10,2988
5997,3781
1325,6870
1774,2532
6693,3484
2116,5679
7312,5219
6868,1795
4409,2369
5879,3910
3704,2553
3966,5182
3145,4252
2857,587
535,6350
3567,188
5581,6323
727,6520
1116,5541
997,1685
2151,546
3701,4325
7496,6036
2825,6906
2802,5202
3115,3447
6530,7411
3108,24
5389,4059
2510,7245
4604,2786
3914,1585
6560,3089
338,3153
5882,959
4266,3730
6714,523
3314,3283
7579,5697
1854,6567
2778,6686
6874,7571
6279,1534
1592,1871
7426,5832
2629,6563
3809,6645
3064,6491
2501,7317
1699,5875
2239,901
3089,1071
3956,7072
1167,4324
5800,7134
3809,3612
3669,599
4954,3141
6628,6010
6950,3809
5630,5410
3809,4551
4153,2109
13,895
4803,6163
453,5331
3906,5615
5821,1945
2911,6784
2724,2262
6870,2510
3671,4028
3246,6508
1814,5424
6112,616
4379,2802
2378,5008
5860,3778
6400,1248
1443,3976
4917,1165
2282,1513
4439,6236
1781,3971
1366,3729
2233,3314
5903,1381
5586,1674
434,6378
7571,6879
780,4571
2409,6923
5465,7571
2713,7334
6180,3352
5853,2957
5871,5980
4173,1771
1585,245
3605,2253
313,2826
5788,1781
4931,4604
6070,4877
4086,6498
1655,3458
2055,2611
2862,1391
4727,2330
5157,7576
1908,7287
3250,7165
3138,508
2635,1385
3491,5507
7039,2645
671,440
794,4977
918,1071
3445,3819
708,1261
646,383
5525,6632
6778,3809
3586,3300
6432,920
306,7108
7207,5612
6868,3702
658,2837
6344,3702
1406,7426
4255,3809
6748,2065
3809,2002
2381,5790
509,270
10,2801
3320,3531
4416,6386
4664,72
6090,3785
4314,4389
6312,222
3287,7555
164,6651
6074,808
7096,4468
6385,5396
4260,5846
4926,3455
3682,1668
6567,4878
3566,3937
216,2088
6386,3554
3946,960
4032,6396
4159,2007
2980,4779
4682,1782
2629,3798
4611,1350
6030,3892
3745,2367
1450,154
6796,2671
3478,2023
3034,5015
3326,6355
5788,5298
160,3849
1589,4635
2303,3224
6635,6860
2024,3809
3908,4990
3029,1638
3901,3819
6377,1906
4808,6967
595,6208
258,7575
4064,7223
3971,616
4172,1838
1906,1309
5452,4036
6362,4257
7162,900
5016,6889
4044,6756
1711,87
1315,87
6759,3893
4835,1593
6416,6937
4262,1731
719,3439
7171,3837
5837,4786
106,2458
2253,5739
4433,5750
6362,1224
6518,1737
3264,6766
3809,2136
10,5379
4845,5694
3702,3959
2797,1638
3036,3906
7115,7096
1535,6627
2540,3702
3956,2563
5367,1080
6788,6701
55,3809
